@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: FA113 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/top.sv":250:13:250:16|Pipelining module un1_phase_inc_gen[63:0]. For more information, search for "pipelining" in Online Help.
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/top.sv":237:2:237:10|Pushed in register phase_inc_gen[63:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/top.sv":237:2:237:10|Pushed in register phase_inc_gen1[63:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/NCO.sv":35:2:35:10|Pushed in register phase_accum[63:0].
@N: FA113 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":62:19:62:37|Pipelining module un12_r[4:0]. For more information, search for "pipelining" in Online Help.
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":78:2:78:10|Pushed in register amdemod_d[10:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":78:2:78:10|Pushed in register amdemod_out_1[10:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/PWM.sv":42:2:42:10|Pushed in register data_in_reg[9:0].
@N: FA113 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":62:19:62:37|Pipelining module un12_r[4:0]. For more information, search for "pipelining" in Online Help.
@N: MF169 :|Pushed in register NoName.
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":78:2:78:10|Pushed in register amdemod_d[10:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/AMDemod.sv":78:2:78:10|Pushed in register amdemod_out_1[10:0].
@N: MF169 :"/home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/source/PWM.sv":42:2:42:10|Pushed in register data_in_reg[9:0].
@N: FX271 :|Replicating instance AMDemodulator_inst.amdemod_out_1_pipe_1 (in view: work.top(verilog)) with 9 loads 1 time to improve timing.
@N: FX164 |The option to pack registers in the IOB has not been specified. Please set syn_useioff attribute.  
@N: FX1056 |Writing EDF file: /home/user/SDR-HLS/1.RTLImplementation/3.lattice/Version2/systemverilog/impl1/OneBitSDR_impl1.edi
@N: BW106 |Synplicity Constraint File capacitance units using default value of 1pF 
@N: MT615 |Found clock CIC_12s_72s_4096s_8s_12s_1|data_clk_derived_clock with period 5.00ns 
@N: MT615 |Found clock uart_rx_87s_0_1_2_3_4|UartClk_derived_clock[2] with period 5.00ns 
@N: MT615 |Found clock uart_rx_87s_0_1_2_3_4|UartClk_1_derived_clock[2] with period 5.00ns 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
